"","experience_level","salary_currency","employee_residence","remote_ratio","company_location","company_size","job_title_clean","salary_factor","job_title_sector","living_index","adjusted_salary_in_usd","employee_works_where_lives"
"1","MI","USD","US","in-place","US","M","Machine Learning Engineer","MEDIUM","AA",70.13,1853.70027092542,TRUE
"2","MI","USD","US","in-place","US","M","Machine Learning Engineer","LOW","AA",70.13,1283.33095679452,TRUE
"3","MI","USD","US","remote","US","M","Data Scientist","MEDIUM","AA",70.13,1711.1079423927,TRUE
"4","MI","USD","US","remote","US","M","Data Scientist","MEDIUM","AA",70.13,1425.92328532725,TRUE
"5","MI","USD","US","remote","US","M","Data Scientist","LOW","AA",70.13,1212.03479252816,TRUE
"6","MI","USD","US","remote","US","M","Data Scientist","LOW","AA",70.13,1112.22016255525,TRUE
"7","SE","USD","US","remote","US","M","Data Engineer","MEDIUM","DE",70.13,2295.73648937687,TRUE
"8","SE","USD","US","remote","US","M","Data Engineer","MEDIUM","DE",70.13,1568.51561385997,TRUE
"9","SE","USD","US","remote","US","M","Data Scientist","MEDIUM","AA",70.13,1939.25566804506,TRUE
"10","SE","USD","US","remote","US","M","Data Scientist","MEDIUM","AA",70.13,1482.96021674034,TRUE
"11","SE","EUR","ES","in-place","ES","M","Data Scientist","LOW","AA",53.88,879.3429844098,TRUE
"12","SE","EUR","ES","in-place","ES","M","Data Scientist","LOW","AA",53.88,703.470675575353,TRUE
"13","EX","USD","US","in-place","US","M","Head of Data","HIGH","DE_lead",70.13,2923.14273492086,TRUE
"14","EX","USD","US","in-place","US","M","Head of Data","MEDIUM","DE_lead",70.13,2281.4772565236,TRUE
"15","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,2409.81035220305,TRUE
"16","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,1577.07115357194,TRUE
"17","EN","GBP","GB","remote","GB","M","Data Engineer","LOW","DE",69.65,889.117013639627,TRUE
"18","EN","GBP","GB","remote","GB","M","Data Engineer","LOW","DE",69.65,711.299353912419,TRUE
"19","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2281.4772565236,TRUE
"20","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,1853.70027092542,TRUE
"21","SE","USD","US","in-place","US","M","Data Scientist","HIGH","AA",70.13,3493.51204905176,TRUE
"22","SE","USD","US","in-place","US","M","Data Scientist","HIGH","AA",70.13,2566.66191358905,TRUE
"23","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,1924.99643519179,TRUE
"24","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,1425.92328532725,TRUE
"25","SE","USD","US","in-place","US","M","Data Engineer","HIGH","DE",70.13,3137.03122771995,TRUE
"26","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2138.88492799087,TRUE
"27","SE","USD","US","in-place","US","L","Data Scientist","HIGH","AA",70.13,2829.60216740339,TRUE
"28","SE","USD","US","in-place","US","L","Data Scientist","MEDIUM","AA",70.13,2053.32953087124,TRUE
"29","SE","USD","US","in-place","US","M","Data Engineer","HIGH","DE",70.13,3422.2158847854,TRUE
"30","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2424.06958505632,TRUE
"31","SE","USD","US","in-place","US","M","Data Scientist","HIGH","AA",70.13,2829.60216740339,TRUE
"32","SE","USD","US","in-place","US","M","Data Scientist","MEDIUM","AA",70.13,2053.32953087124,TRUE
"33","MI","USD","US","remote","US","M","Data Analyst","MEDIUM","DA",70.13,2138.88492799087,TRUE
"34","MI","USD","US","remote","US","M","Data Analyst","MEDIUM","DA",70.13,1425.92328532725,TRUE
"35","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,1711.1079423927,TRUE
"36","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,1354.62712106089,TRUE
"37","MI","GBP","GB","partial","GB","M","Data Scientist","LOW","AA",69.65,835.764536970567,TRUE
"38","EN","USD","US","remote","US","L","Data Analyst","LOW","DA",70.13,912.59090260944,TRUE
"39","EN","EUR","FR","partial","FR","L","Data Scientist","LOW","AA",74.13,539.714015917982,TRUE
"40","SE","USD","CA","remote","CA","M","Machine Learning Engineer","HIGH","AA",70.22,2665.90714896041,TRUE
"41","SE","USD","CA","remote","CA","M","Machine Learning Engineer","MEDIUM","AA",70.22,1653.37510680718,TRUE
"42","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,2138.88492799087,TRUE
"43","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,1810.92257236561,TRUE
"44","SE","USD","US","remote","US","M","Data Engineer","HIGH","DE",70.13,3921.28903464994,TRUE
"45","SE","USD","US","remote","US","M","Data Engineer","MEDIUM","DE",70.13,2367.03265364323,TRUE
"46","SE","USD","US","in-place","US","M","Data Scientist","MEDIUM","AA",70.13,2277.18522743476,TRUE
"47","SE","USD","US","in-place","US","M","Data Scientist","MEDIUM","AA",70.13,1981.14929416797,TRUE
"48","EN","USD","US","partial","US","L","BI Analyst","LOW","DA",70.13,1083.70169684871,TRUE
"49","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,2377.01411664053,TRUE
"50","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,1696.84870953943,TRUE
"51","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,1853.70027092542,TRUE
"52","SE","USD","US","in-place","US","M","Data Analyst","MEDIUM","DA",70.13,1425.92328532725,TRUE
"53","SE","GBP","GB","in-place","GB","M","Data Analyst","MEDIUM","DA",69.65,1493.72577171572,TRUE
"54","SE","GBP","GB","in-place","GB","M","Data Analyst","MEDIUM","DA",69.65,1333.68269921034,TRUE
"55","SE","USD","US","in-place","US","M","Data Analyst","LOW","DA",70.13,1140.7386282618,TRUE
"56","SE","USD","US","in-place","US","M","Data Analyst","LOW","DA",70.13,748.609724796806,TRUE
"57","SE","USD","US","remote","US","M","Data Engineer","HIGH","DE",70.13,3365.17895337231,TRUE
"58","SE","USD","US","remote","US","M","Data Engineer","HIGH","DE",70.13,2595.18037929559,TRUE
"59","SE","USD","US","remote","US","M","Data Scientist","HIGH","AA",70.13,2566.66191358905,TRUE
"60","SE","USD","US","remote","US","M","Data Scientist","MEDIUM","AA",70.13,1996.29259945815,TRUE
"61","SE","USD","US","in-place","US","M","Data Scientist","HIGH","AA",70.13,3208.32739198631,TRUE
"62","SE","USD","US","in-place","US","M","Data Scientist","MEDIUM","AA",70.13,2230.14401825182,TRUE
"63","SE","USD","US","remote","US","M","Data Analyst","MEDIUM","DA",70.13,1924.99643519179,TRUE
"64","SE","USD","US","remote","US","M","Data Analyst","MEDIUM","DA",70.13,1425.92328532725,TRUE
"65","SE","USD","US","in-place","US","M","Machine Learning Engineer","HIGH","AA",70.13,2916.01311849423,TRUE
"66","SE","USD","US","in-place","US","M","Machine Learning Engineer","MEDIUM","AA",70.13,2027.66291173535,TRUE
"67","MI","USD","US","remote","US","M","Research Engineer","HIGH","DE",70.13,3422.2158847854,TRUE
"69","SE","USD","US","in-place","US","M","Data Engineer","HIGH","DE",70.13,4277.76985598175,TRUE
"70","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,1853.70027092542,TRUE
"71","SE","USD","US","remote","US","M","Data Engineer","HIGH","DE",70.13,2780.55040638814,TRUE
"72","SE","USD","US","remote","US","M","Data Engineer","HIGH","DE",70.13,2495.36574932269,TRUE
"73","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2210.18109225724,TRUE
"74","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,1568.51561385997,TRUE
"75","SE","USD","US","in-place","US","M","Data Operations Analyst","MEDIUM","DA",70.13,1753.88564095252,TRUE
"76","SE","USD","US","in-place","US","M","Data Operations Analyst","MEDIUM","DA",70.13,1315.41423071439,TRUE
"77","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2424.06958505632,TRUE
"78","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2138.88492799087,TRUE
"79","MI","USD","US","remote","US","M","Machine Learning Engineer","HIGH","AA",70.13,2566.66191358905,TRUE
"80","MI","USD","US","remote","US","M","Machine Learning Engineer","MEDIUM","AA",70.13,1425.92328532725,TRUE
"81","SE","USD","US","remote","US","M","Data Engineer","MEDIUM","DE",70.13,1383.14558676743,TRUE
"82","SE","USD","US","remote","US","M","Data Engineer","LOW","DE",70.13,1283.33095679452,TRUE
"83","SE","USD","US","in-place","US","M","Data Engineer","HIGH","DE",70.13,2851.8465706545,TRUE
"84","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2281.4772565236,TRUE
"85","SE","USD","US","remote","US","M","Machine Learning Engineer","HIGH","AA",70.13,2994.43889918722,TRUE
"86","SE","USD","US","remote","US","M","Machine Learning Engineer","HIGH","AA",70.13,2566.66191358905,TRUE
"87","SE","USD","US","in-place","US","M","Data Engineer","HIGH","DE",70.13,3707.40054185085,TRUE
"88","SE","USD","US","in-place","US","M","Data Engineer","HIGH","DE",70.13,2566.66191358905,TRUE
"89","EX","USD","US","remote","US","M","Data Analyst","HIGH","DA",70.13,2994.43889918722,TRUE
"90","EX","USD","US","remote","US","M","Data Analyst","MEDIUM","DA",70.13,2238.69955796378,TRUE
"91","EN","USD","US","remote","US","M","Data Scientist","HIGH","AA",70.13,2566.66191358905,TRUE
"92","EN","USD","US","remote","US","M","Data Scientist","MEDIUM","AA",70.13,1425.92328532725,TRUE
"93","MI","USD","US","in-place","US","M","Data Analyst","LOW","DA",70.13,1140.7386282618,TRUE
"94","MI","USD","US","in-place","US","M","Data Analyst","LOW","DA",70.13,748.609724796806,TRUE
"95","SE","USD","US","in-place","US","M","Data Architect","MEDIUM","DE",70.13,1825.18180521888,TRUE
"96","SE","USD","US","in-place","US","M","Data Architect","LOW","DE",70.13,1162.12747754171,TRUE
"97","SE","USD","US","in-place","US","M","Data Operations Engineer","MEDIUM","DE",70.13,1497.21944959361,TRUE
"98","SE","USD","US","in-place","US","M","Data Operations Engineer","LOW","DE",70.13,998.146299729075,TRUE
"99","SE","USD","US","in-place","US","M","Data Scientist","HIGH","AA",70.13,2495.36574932269,TRUE
"100","SE","USD","US","in-place","US","M","Data Scientist","MEDIUM","AA",70.13,1746.75602452588,TRUE
"101","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,2438.3288179096,TRUE
"102","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,1668.33024383288,TRUE
"103","SE","USD","US","in-place","US","L","Data Scientist","HIGH","AA",70.13,2891.77242264366,TRUE
"104","SE","USD","US","in-place","US","L","Data Scientist","MEDIUM","AA",70.13,1487.23798659632,TRUE
"105","SE","EUR","ES","in-place","ES","M","Data Analyst","LOW","DA",53.88,937.954714179658,TRUE
"106","SE","EUR","ES","in-place","ES","M","Data Analyst","LOW","DA",53.88,683.927245731255,TRUE
"107","SE","USD","US","in-place","US","M","Data Engineer","HIGH","DE",70.13,2809.06887209468,TRUE
"108","SE","USD","US","in-place","US","M","Data Engineer","MEDIUM","DE",70.13,1411.66405247398,TRUE
